id,year
3416,1991
18991,2004
11105,1950
18902,1991
18958,1999
8132,2004
4442,1977
5562,1991
16836,2001
3555,2003
1836,1940
5999,1991
6198,1935
17426,2003
13323,1991
7473,2003
9635,1991
6781,1935
2460,2001
3439,1940
9435,2004
11001,1940
11872,1940
18084,2004
14233,1991
7146,2001
4775,1950
5369,1940
6176,1991
7436,2004
19646,1940
9053,1991
4184,2001
12471,1940
14698,1991
7315,1991
14120,1985
4208,2003
4081,2001
11136,1991
2987,1935
19737,1935
5798,1950
8564,2001
14459,1940
12543,1950
17304,1930
11507,1935
5050,1991
3306,1940
15196,2004
13905,1950
10326,1940
16654,1950
16105,1967
12049,1985
2786,1967
7759,1940
14592,2003
13693,1999
11532,1991
8187,1935
1715,2001
1723,1991
11800,2001
5102,2004
11349,1991
18514,2004
2101,1991
9061,1985
16302,1999
12194,1991
4298,1991
13035,1940
12946,1999
5370,1991
7226,1935
4449,2001
15965,1967
812,1991
3071,1991
18910,1999
16360,1940
1776,1940
6134,1985
12694,2003
7327,2004
18694,1935
18051,1940
3718,1940
18600,1940
7976,1999
10430,1991
4385,1991
11698,1991
19617,1999
19927,2004
3642,1950
19053,1991
1578,1940
17202,2001
15508,2001
1504,1950
9520,1935
16542,1991
4704,1940
2104,2003
6414,1991
3415,1950
2453,2003
3538,2001
2726,1940
8996,1940
11821,1940
8466,1991
19722,1991
6864,1997
12664,2004
19154,1991
6015,2001
2394,1940
12328,1991
10996,2004
15952,1935
12252,1940
7309,1940
7641,1991
17101,1935
1405,1940
6224,2003
9300,1940
2538,1950
6679,2003
2107,1935
12056,1940
15814,1977
15354,1940
4997,1991
14460,1950
6818,1991
11501,1991
19972,1940
15469,2001
11863,1940
14973,1991
18089,1935
16367,2001
18461,2004
12188,1940
8234,2001
10730,1991
4830,2003
10361,1950
5039,1991
6836,1940
15753,1935
3699,2001
14767,1940
12192,1991
4100,1935
1619,1985
10221,1991
19257,2004
8630,1991
14510,1991
14963,1991
16126,1991
17390,1940
18254,1991
10532,1950
17820,1977
14023,2004
5833,1991
19422,2004
1630,2001
16179,2004
2283,2001
13096,1991
5805,1991
14928,1930
1246,1991
8760,1950
14543,1935
14636,1991
2427,1991
613,1991
11219,1991
6108,1930
4089,1940
8359,1935
10945,1991
7068,2001
16612,2004
2370,2001
16780,2003
7060,1940
6025,1935
864,2003
17858,2001
9889,1930
9173,1991
17582,1950
1108,1940
18714,1991
15791,1991
1479,1991
18361,2004
14787,1940
9181,1940
8586,1940
19658,1940
4012,2001
12323,1991
4377,1940
13347,1991
18908,1991
14699,2004
11786,2003
4116,2001
16608,1940
0,1991
14367,1940
12282,2004
6005,1930
1933,1940
14803,1930
11720,2003
14932,1940
11767,1991
14758,2001
1521,2003
11487,1930
10181,1940
1682,2001
9271,1940
8294,1967
13138,1935
11458,1991
9844,1991
11153,1940
6663,1940
1419,1991
10589,1940
9355,2004
5287,1940
6163,2004
9376,1991
13276,2004
3269,2003
12618,1991
964,2004
16139,1935
10824,1940
18392,1950
17141,1950
1858,1940
12021,1940
12948,1940
9613,2001
17838,1991
14849,2001
4061,1935
14837,1930
9646,1991
19584,1935
3823,1991
5309,2004
5767,1940
12939,1991
14359,1950
16646,1940
9894,1999
249,1967
3878,1977
15336,2001
10238,1991
11638,2001
1823,1967
19007,1935
7540,1967
15062,2004
6437,1991
10229,1977
19094,2004
5528,2001
18522,1940
12385,1935
11172,2004
4507,1991
4671,2004
10612,1991
7622,1991
1482,1991
1102,1940
6579,2001
13838,1991
15559,2001
14538,1940
16882,1940
13041,1991
8120,2003
9521,1991
5402,2001
8557,1940
17134,1991
17636,1940
4297,1935
17664,1940
9886,1977
7345,2004
5650,1940
7394,1991
9415,2004
16686,2004
7426,1940
8703,1935
1790,1991
19025,1935
17442,1991
19978,2004
10390,1991
1894,2001
14100,1991
8409,1991
7605,1977
6914,1930
10628,1940
3191,1991
8965,1999
15065,2004
9935,1935
7411,1940
2179,1967
9027,1940
19182,1940
13197,1940
3833,1940
8908,1991
14071,2001
8970,1940
11749,2003
10568,2001
1186,2001
17393,2004
6532,2003
14662,2001
14332,2004
12678,1991
17245,1940
4692,2003
16112,2003
3597,2004
19840,2004
13608,2003
10033,1940
2768,1999
840,2001
9943,1940
10605,1991
313,1985
